번호,국가,지역,랜드마크 이름,설명,경도 (Lng),위도 (Lat)
1,태국,방콕,왕궁(Grand Palace),태국 왕실의 중심지로 화려한 장식과 역사적 가치가 있는 방콕 필수 관광지.,100.4915765,13.7498558
2,태국,방콕,왓 포(Wat Pho),세계적으로 유명한 거대 와불상이 있는 사원.,100.4927733,13.7464237
3,태국,방콕,왓 아룬(Wat Arun),새벽 사원으로 불리며 차오프라야 강변에 위치해 있다.,100.488444,13.7438652
4,태국,방콕,에메랄드 사원(왓 프라깨우),왕궁 내 위치하며 에메랄드 불상이 있는 태국 최고의 사원.,100.4927041,13.7516435
5,태국,방콕,왓 사켓(황금산),방콕 시내가 보이는 황금 불탑이 인상적인 사원.,100.5065459,13.7538637
6,태국,방콕,카오산 로드(Khao San Road),전 세계 배낭여행자들의 집합지.,100.4972578,13.7589206
7,태국,방콕,시암 파라곤(Siam Paragon),고급 브랜드와 다양한 쇼핑 및 식사를 할 수 있는 대형 쇼핑몰.,100.5347792,13.7461302
8,태국,방콕,터미널21(Terminal 21),공항 테마의 독특한 쇼핑몰.,100.5604058,13.7379635
9,태국,방콕,짜뚜짝 주말 시장(Chatuchak Weekend Market),엄청난 규모의 다양한 상품을 판매하는 시장.,100.5504245,13.799781
10,태국,방콕,마하나콘 타워(King Power Mahanakhon),독특한 유리 바닥 전망대를 가진 방콕의 랜드마크 빌딩.,100.5282467,13.7235375
11,태국,푸켓,푸켓 빅 부다(Big Buddha),푸켓 남동부 언덕에 위치한 거대한 흰색 대불상.,98.3128423,7.8275763
12,태국,푸켓,왓찰롱 사원(Wat Chalong),푸켓에서 가장 크고 중요한 불교 사원.,98.3369048,7.8468384
13,태국,푸켓,파통 비치(Patong Beach),다양한 액티비티와 나이트라이프가 펼쳐지는 주요 해변.,98.2954147,7.8961957
14,태국,푸켓,방라 로드(Bangla Road),파통 비치 근처의 유명한 유흥거리.,98.2952571,7.8940782
15,태국,푸켓,카론 비치(Karon Beach),길게 펼쳐진 모래사장과 깨끗한 바다가 인상적인 해변.,98.2936186,7.8438991
16,태국,푸켓,카타 비치(Kata Beach),가족과 함께 휴식과 액티비티 모두 즐길 수 있는 비치.,98.2976473,7.8206945
17,태국,푸켓,카말라 비치(Kamala Beach),조용한 분위기의 적합한 해변.,98.2830983,7.9569221
18,태국,푸켓,자유 해변(Freedom Beach),자연 그대로의 환경에서 휴식을 즐길 수 있는 해변.,98.2758228,7.8752559
19,태국,푸켓,피피섬(Phi Phi Islands),투명한 바다와 절경으로 유명한 섬.,98.77841,7.740738
20,태국,푸켓,구(舊) 푸켓타운(Old Phuket Town),중국-포르투갈 양식의 건축물과 다양한 맛집 및 골목길을 볼 수 있는 여행지.,98.3891995,7.885432
21,태국,치앙마이,도이수텝 사원(Wat Phra That Doi Suthep),치앙마이 시내를 한눈에 볼 수 있는 신성한 사원.,98.9160906,18.8070052
22,태국,치앙마이,체디 루앙(Wat Chedi Luang),도심 한복판에 위치한 고대 사원 유적.,98.9865804,18.7869693
23,태국,치앙마이,프라 싱 사원(Wat Phra Singh),옛 도심 내 가장 아름다운 불상과 벽화 보유.,98.9819946,18.7885265
24,태국,치앙마이,타패 게이트(Tha Phae Gate),치앙마이의 올드타운 입구이자 역사적 랜드마크.,98.993369,18.7877413
25,태국,치앙마이,세 왕 동상(Three Kings Monument),치앙마이 설립을 기념하는 동상 광장.,98.9873528,18.7902317
26,태국,치앙마이,우몽 사원(Wat Umong),터널 속 불상이 유명한 숲속 사원.,98.9521099,18.7827263
27,태국,치앙마이,반덴 사원(Wat Ban Den),다양한 건축양식을 한눈에 볼 수 있는 대규모 사원.,98.9784843,19.1577357
28,태국,치앙마이,수언 독 사원(Wat Suan Dok),왕족이 잠들어 있는 사원이며 하얀 탑이 특징.,98.9677619,18.7882387
29,태국,치앙마이,와로로스 시장(Warorot Market),치앙마이 전통시장으로 현지 문화 체험 가능.,99.0009964,18.7898494
30,태국,치앙마이,님만해민 로드(Nimmanhemin Road),현대적 감성과 카페 및 상점이 집결한 트렌디한 거리.,98.9668745,18.798569
31,일본,도쿄,도쿄 타워,"도쿄의 상징인 붉은색 전파탑, 야경 명소",139.7454,35.6586
